fasta_name	species
Psimiovale_LT48_KU245041_1	Plasmodium simiovale
Psimiovale_LT3_KU245044_1	Plasmodium simiovale
Psimiovale_LT54_KU245042_1	Plasmodium simiovale
Psimiovale_LT3_CMT20_KU245043_1	Plasmodium simiovale
Pcynomologi_LT34_AT5_KU245048_1	Plasmodium cynomologi
Pcynomologi_LT19_AT5_KU245045_1	Plasmodium cynomologi
Pcynomologi_LT20_A2mt4_KU245046_1	Plasmodium cynomologi
Pcynomologi_LT90_AT1_KU245055_1	Plasmodium cynomologi
Pcynomologi_LT84_AT7_KU245053_1	Plasmodium cynomologi
Pcynomologi_LT79_AT1_KU245052_1	Plasmodium cynomologi
Pcynomologi_LT88_AT7_KU245054_1	Plasmodium cynomologi
Pcynomologi_LT34_AT3_KU245047_1	Plasmodium cynomologi
Pcynomologi_LT54_Amt20_KU245049_1	Plasmodium cynomologi
Pcynomologi_LT58_AT4_KU245051_1	Plasmodium cynomologi
Pcynomologi_LT90_AT5_KU245056_1	Plasmodium cynomologi
Pcynomologi_LT54_Amt23_KU245050_1	Plasmodium cynomologi
Pcynomologi_LT90_AT11_KU245057_1	Plasmodium cynomologi
Pcoatneyi_LT33_Amt2_KU245034_1	Plasmodium coatneyi
Pcoatneyi_LT4_mt4_KU245035_1	Plasmodium coatneyi
Pcoatneyi_LT4_AT2_KU245036_1	Plasmodium coatneyi
Pknowlesi_LT4_AT4_KU245037_1	Plasmodium knowlesi
Pknowlesi_LT53_Amt36_KU245039_1	Plasmodium knowlesi
Pknowlesi_LT53_Amt35_KU245038_1	Plasmodium knowlesi
Pknowlesi_LT88_BT19_KU245038_1	Plasmodium knowlesi
Pcynomologi_M_PlasmoDB	Plasmodium cynomologi
Pvivax_AD80_Salvador_I_PlasmoDB	Plasmodium vivax
Pknowlesi_PKNH_PlasmoDB	Plasmodium knowlesi
Pvivax_P01_PlasmoDB	Plasmodium vivax
Pfalciparum_M76611_3D7_PlasmoDB	Plasmodium falciparum
Pchabaudi_AS_PlasmoDB	Plasmodium chabaudi
Pberghei_ANKA_PlasmoDB	Plasmodium berghei
Pcynomolgi_B_AB444123_1	Plasmodium cynomolgi
Preichenowi_CDC_PlasmoDB	Plasmodium reichenowi
Pmalariae_UG01_PlasmoDB	Plasmodium malariae
Pyoelii_17X_PlasmoDB	Plasmodium yoelii
Prelictum_SG_PlasmoDB	Plasmodium relictum
Povale_curtisi_HQ712052_1	Plasmodium ovale Curtisi
Povale_wallikeri_HQ712053_1	Plasmodium ovale Wallikeri
Pgallinaceum_8A_PlasmoDB	Plasmodium gallinaceum
Psimiovale_AY800109_1	Plasmodium simiovale
Psimium_Fonseca_MRA353_AY722798_1	Plasmodium simium
Pgonderi_AB434918_1	Plasmodium gonderi
Pcynomolgi_AB434919_1	Plasmodium cynomolgi
Pinui_AB354572_1	Plasmodium inui
Phylobati_AB354573_1	Plasmodium hylobati
Psimiovale_AB434920_1	Plasmodium simiovale
Pfieldi_AB354574_1	Plasmodium fieldi
Pfragile_AY722799_1	Plasmodium fragile
Pcoatneyi_AB354575_1	Plasmodium coatneyi
Pinui_Taiwan_II_GQ355483_1	Plasmodium inui
Pinui_leaf_monkey_II_GQ355482_1	Plasmodium inui
Psimium_AY800110_1	Plasmodium simium
Pjuxtanucleare_NC_008279_1	Plasmodium juxtanucleare
Preichenowi_DRC_Shege_GQ355476_1	Plasmodium reichenowi
Pbillcollinsi_UGD_GQ355477_1	Plasmodium billcollinsi
Pbillcollinsi_UGF_GQ355478_1	Plasmodium billcollinsi
Pbillcollinsi_DRC_Itaito_GQ355479_1	Plasmodium billcollinsi
Pbillbrayi_UGB_GQ355470_1	Plasmodium billbrayi
Pbillbrayi_UGD_GQ355471_1	Plasmodium billbrayi
Pbillbrayi_DRC_ShegeC_GQ355468_1	Plasmodium billbrayi
Pbillbrayi_DRC_ShegeD_GQ355469_1	Plasmodium billbrayi
Pmalariae_DRCJ_GQ355486_1	Plasmodium malariae
Pmalariae_DRCQ_GQ355485_1	Plasmodium malariae
Pvivax_UGB_GQ355481_1	Plasmodium vivax
Pvivax_DCRG_GQ355480_1	Plasmodium vivax
Pbrasilianum_Peruvian_III_GQ355484_1	Plasmodium brasilianum
Poc221_MIT	Plasmodium ovale Curtisi
Pow222_MIT	Plasmodium ovale Wallikeri
